ids_prim	stroke	freq2_log	elms
	8	-1	㐩㑒㑒㒺㓣㓤㔙㔙㔽㕁㕺㕻㕿㘠㘳㘴㚗㚻㚼㚿㛁㞺㟀㢱㣘㤐㦲㦿㦿㧝㱚㱛㳌㳎㶨㸓㹨㺳㽵䀐䀑䍐䒔䘚丳佫侎冾凮刼効勆勆匼匼卥囶囶囶坣坬坮坸奌妱姄姈実屇岝岦岶岺岺峀峀廼弆忢怽抦昋昋昑昘昛杴枀枈毟泈泍炇牨玧瓫畁畂畄糼舠苐苚迡迱郍鼡𠀬𠀭𠂳𠄭𠄮𠈃𠈄𠈉𠈗𠈣𠈪𠒃𠒆𠒋𠗀𠗀𠗆𠙇𠙉𠚌𠛧𠛫𠛱𠛹𠛹𠛼𠛼𠜂𠜂𠜊𠤻𠦜𠧠𠧦𠧧𠩋𠩓𠩕𠫭𠫯𠰓𠰕𠰛𠰞𠰞𠰣𠰥𠱀𠱄𡇈𡇋𡇌𡊎𡊙𡊚𡊥𡊦𡊨𡊭𡊱𡊵𡕢𡘃𡘆𡘊𡛩𡛼𡥚𡧘𡧟𡧢𡧧𡭧𡭨𡱀𡱁𡱂𡱅𡱈𡴋𡴋𡶇𡶓𡶟𡶣𡶣𡶤𡶦𡶩𡿱𡿱𡿲𢂇𢂋𢆎𢆻𢇳𢇻𢍀𢍁𢏈𢏈𢏏𢒊𢘆𢘤𢦟𢨯𢨯𢨳𢨳𢪿𢫕𢺸𢻻𢻻𢼂𣂔𣅜𣅟𣅳𣏔𣏚𣏦𣏰𣏼𣏽𣐀𣐁𣐂𣐂𣐇𣢊𣢐𣥏𣥐𣥕𣥚𣥜𣧋𣧌𣬅𣲲𤆦𤆬𤆯𤓻𤘆𤘴𤝗𤝚𤝡𤤅𤤋𤰅𤰠𤽇𤿌𥁃𥁄𥁄𥃳𥃳𥃷𥄁𥎨𥐦𥐦𥐧𥘣𥘪𥝕𥝝𥝝𥝞𥤨𥤨𥤬𥤱𥤱𥩘𥩘𥸩𦉷𦉼𦉾𦍐𦏲𦒳𦓎𦙃𦙃𦙊𦙊𦙑𦙑𦙚𦙟𦙟𦥙𦨈𦨉𦬘𦬞𦬣𦬦𦬪𦬬𦬮𦬮𦬰𧆛𧈟𧈠𧈡𧗠𧠆𧠇𧹘𨐌𨐌𨒂𨒂𨒒𨒙𨒣𨸏𨹅𪜹𪜹𪟄𪠁𪠆𪠨𪥌𪧈𪪎𪫩𪯢𪯱𪯲𪰊𪰋𪰎𪸓𪻓𫃚𫆀𫇩𫐣𫠭𫤘𫧠𫨈𫩣𫩧𫯢𫰗𫲿𫻩𫾨𬂣𬅟𬇊𬉻𬙘𬚳𬜦𬮠𭀡𭁈𭁈𭁴𭃚𭅉𭅑𭅒𭅒𭅺𭇎𭎇𭎊𭎌𭑈𭑊𭒽𭔫𭕘𭖒𭖒𭚫𭟰𭟲𭠂𭠂𭣤𭥒𭥕𭥖𭥗𭩢𭭛𭮃𭴉𭴋𭴎𭶪𭸾𭺲𭺳𭺳𮕦𮝾𮨶𮱤𰁽𰇑𰉢𰏤𰏴𰗕𰛐𰤔𰥐𰮋𰹈𱑎𱒒𱛖𱞂𱡻𱣀𱪮𱬷𱵼𱺵𱻊𱼧𱽐𱽓𲀥
	9	6	頁頁是音既為係首首相則虽要昜重重
	9	5	胃胃品韋韋亲軍後故壴壴咸咸前前侯看娄禺骨骨骨复复鬼鬼说食食食面面昷思革封柬𦚏酋酋帝南皆俞俞卻㒸風風点畐茍星某𦔻𨊥屋便度宫政皇觉将将神神飛爰禹垚送客美兪兪兪兪春扁扁秋保曷曷洛信𡿺𠱠急急急奐奐奐亭总类畏架室退战泉闻种贵威枼城叚很待耑轻甚甚洗貞𦭝𦭝带带陣钟剌胡胡胡追眉斿斿帮哉䙲䙲咪段查绝指彖宣彦响举彥哈計昭除显𭴘结
	9	4	草迶差差柔怎卽怨爯爯負負活県県拜拜剑兹界逆顺独卸奏奏郡香香背背茲荅迷盾突突突怒咠叟叟叟叟荒巷巷臿臿祖祖临𦍒尝帥𬛸科施施𬐘幽垔垔耐厚㲋癸毒毒胜胜适盈紅紅冒冒厘穿穿修修哀哂侵侵派昚孩费统须逃贱持持院姜省项俗俗柰贲䚯览𱕻荣陛𫥎蚤蚤狱韭韭胥胥姦勁俊勇勇养养冠査型約約約削律恨恒𡱒㚅迹庭屎𱼭匽匽柳洞級級咬𬙙恆紀紀染狠咱咢脉脉屏単𱅑𣳾𣳾挑洋衍衍荐络珍骂贺亮亮洪研津勉勉柱挺勃虹残残阁宪敄𨊠括郤茹牵娃祝祝笃郞玲眇拾叙茶茶昨勋茵胆胆弯弯
	9	3	钦𡇒枯闾契契契柄昬贰柏姿矩虐虐叛叛赴柯恃昧娜軌浊炮炮洒恼弇怠紂紂钧怱促珀荀宦俎茫剎矜恰恢恢荆荆荆陟𱭏迴映盆殃虾姚垣砍荧俄贷荥荥𭣦胎胎拱恬𩑋𩑋郢莒莒俟拼拼恍訂䂞咨垒徇𥄎炭炭歪迺挖耷耎盼姪珊珊耍洽拯贸囿缸剋斫郝㿽栈奕祚祚胖胖胖㚇㚇朐匍敃昱胄胄闽垢羿宥恪胤胤胤殄兗奎陝茸毗洼弭匧祐祐迸荔茨竿虵茧紆紆𣢟茜胞胞拭炳枲峙狊炯𡶫𡴎炫祗祗昴垫垫𤰭孨虺庠
	9	2	𠡠柘贳弈昫洿叜逄茗垠𠖇衎荃畎珉珂俐枷衿秏洵羑洫𣅽耇衂洎绚訇亯矦矦盃荏枹枹逅笈胙胙茈柤洌紇紇昶拴祜祜郗陜𦙲祢祢祢甭眊峦峦盅柝砭柿扃扃毖竒姞洹皅厖眄眄郚荑拏䖟觔茴泵呲俚殂咿荄㝁荟洴洴泚奊砉砉砉孪孪轱㡿挃羗陖窆窆洟芔芔荂洳
	9	1	㞕荎柑𧈹厗炱呰宨庛茤帣帣舁舁侻侻柃俆羍癹秔茦茿荁𫋲𮂱盇炰炰厙昝浐㓩陗昺𣴎㑞㕟㝔䀛䑣峉敀敂欪洝眂砅茖𠧪𫯁𫯁𫯂𫯂𱰭㪅奓恠笀胊胊𩠐拶拶穼穼㧁㧁哏䏣䏣穾穾㓨㛄㞒㰦䀗䊸冟剈帠庣柖柛毘洏洐砏茙茟𣐝𥄉𦬸𦬸𧈪茛
	9	0	柭柭胐胐垧胍胍畑茺眀沗沗沗咲垕垕昰凃乗変変
	9	-1	㑛㓂㓧㔜㖈㘶㘸㚆㚚㝖㢲㢴㣞㤗㲒㳝㳞㶮㽚㿞䀜䀝䂝䆓䆓䆔䆔䆖䆖䍒䍔䎛䒕䖉䢼乹乼亰亰侰侱俥凾勅匨匩匩哖垥壵姧姯姳宩専尛尛峑巺巻巻怘旀柺柺柾栄栆栆桒桒泴洀洆洉浂浄涏炡炢炢炶爼珆珎珎畓発盺祍秌窂窂笁粀耉胋胋茘荖荗荘荿虳貟鳬𠀷𠁭𠂷𠃴𠅔𠈾𠗏𠗒𠚏𠚏𠜒𠜤𠜥𠣞𠥆𠧱𠧱𠨚𠩠𠫰𠫵𠫷𠫷𠭃𠱡𠱡𠱭𠱯𠱳𠱸𠱼𡇞𡇟𡋍𡋐𡋑𡋛𡋡𡋣𡔢𡔢𡘐𡘑𡘒𡘚𡘜𡥞𡥦𡧩𡧯𡧰𡧱𡧷𡬧𡬫𡱜𡱝𡱞𡶬𡷇𡷈𢆓𢆔𢇂𢈊𢈍𢈏𢈔𢌴𢍂𢍃𢍄𢍆𢍆𢍉𢏔𢏚𢏝𢑚𢒎𢓤𢓥𢘻𢘿𢙅𢙇𢙣𢙥𢦦𢦶𢨿𢨿𢬇𢬈𢬊𢼉𣂚𣃥𣃥𣄰𣄰𣅻𣅼𣆂𣆉𣆊𣆎𣆑𣐉𣐉𣐥𣐩𣢜𣥤𣧢𣧢𣭁𣳨𣴓𤇏𤇕𤇘𤇫𤓽𤓾𤓿𤔄𤔆𤝵𤝵𤤔𤤤𤤯𤤴𤯚𤰩𤰫𤰸𤰺𤰻𤱊𤼧𤽈𤽗𤽗𥄃𥄈𥄕𥄗𥄧𥎩𥎯𥘾𥘿𥙊𥝤𥝯𥝸𥝻𥤹𥤹𥩝𥩞𥫠𥸬𥸭𥸮𥸲𦊁𦊄𦊆𦊈𦊋𦍑𦏺𦏾𦔹𦘔𦚆𦚉𦚉𦚋𦚖𦤀𦤶𦤶𦥚𦥛𦥛𦬺𦬾𦭓𦭕𦭞𦭤𦭧𧆜𧆜𧆞𧈸𧘣𧘴𧟥𧴦𧴦𧴧𨊢𨒨𨛡𨛪𨹧𪜕𪟆𪠇𪠈𪤹𪥍𪭌𪰑𪰖𪱿𪵻𪽋𪽼𪾋𪿈𪿒𫀄𫀩𫇮𫇰𫊝𫊞𫊥𫋴𫝎𫞰𫞰𫟈𫟈𫟯𫡙𫢩𫦪𫨻𫳂𫵚𫾩𬏝𬙬𬚓𬜪𬡊𬥎𬮦𬽊𬽊𬾐𬾕𭃤𭄩𭅋𭇥𭎘𭎙𭓩𭓩𭓯𭕛𭖚𭘍𭚖𭚬𭛨𭠃𭠃𭣩𭤯𭥨𭥨𭥫𭥭𭩮𭩲𭩲𭭟𭰍𭴔𭺾𭺿𭼿𭽼𭽼𭾡𭾢𮂸𮃹𮃹𮉰𮎰𮓛𮓷𮙥𮠖𮥴𮧯𮧯𮩴𰀎𰄯𰆄𰆙𰋿𰌼𰑓𰓞𰙠𰙡𰠛𰠭𰥓𰦫𰩬𰫘𰭈𰮒𰮒𰴨𰴩𰶱𱀋𱅐𱏴𱒛𱒢𱕺𱕼𱖤𱙎𱚠𱛢𱝠𱦊𱪲𱪵𱬹𱲋𱺸𱻲𱽗
	10	6	馬都個時高能冓𭥴倠隻
	10	5	這原真真真氣离骨骨骨家師𥁕莫𤇾射袁留样通眔眔眔秦條𡨄笑𤰇𤰇𤰇䍃䍃連員晋晉鬲鬲宮尃髟流起起倉倉夏𬜯書書被華诸益益息难𢼸𣁋候破兼兼哥部旁监埋殺殺殺爱務海海陳奚盍記冡鬥隺烕烕病躬豈𠳋𠳋恶閃郷唐钱𢇁{26}
	10	4	秝烏害害害害衰酒特校乘訓容容容䀠芻剛展般𰤷庫倒恐根恩陸致致素莊准罢料晒逢𤔌𤔌索烈哭陰陰陵弱弱热疾消逐孫孫徒珤晏貢欮羔格速珠軒拿宾读舀舀站造造畟畟娘宰资贼班班桓烦桑称称积莽莽財顿辱辱捉徐𧴪𧴪冥案悟陶畢畢畢虑郭敖敖敖凌陪俱俱效桀载悅悦鬯涉討純純谈畜套桌恭朔烟浮秘虒竞殷卿卿座贾配島涂𰗣值席耆衮狼泰泰匪借浪峰朕眞栗透振预聂陷脈脈宽倍晃笔丵臭臭耻恥圆羞羞朗朗眠殊缺党党胸胸倫捕烝唇唇巸巸旅旅旅旅途冢粉爹翁翁拳拳哩託涌納納納納紙紙𡋵浦浩浩飢飢姬姬豹豹凍倩倩邕脩脩脩脩桃𭔰健針玆皋蚊恣𦐇𦐇𦐇紛紛桂悔悔屑莹砰
	10	3	挨脊脊脊莎租㢆盐蚕核柴浸浸祥祥秩畔匿匿涕峻哲畝倚耿挾恋恋荷隽航宴莉耕耕瓶𡭴艳荼蚩蚩郵逝郸桐悍帯帯狸盎袍袍剥剝悖脆脆狹𰋣祟埃斋耸恕脅脅脅虔耗耗浆莖宵釘従冤冤顽剖栖翅𥁓𡌥耽晁恙剡顼倦倦恚晌哨扇扇扇恳紋紋欬娥𣪊𥁑栾栾釜臬笄涖圂框圃訖隼盏盏祘祘祘㼌砳窄窄涓逛倭彧栽𣬉罡豺脂脂紗紗绢眚袅莘剔亳𬶀莢娣莞牂衾哺孭紐紐辂旄旄峭逋涅𬻞𱖪桎圄倘倘屖
	10	2	旃旃勑凋埔窊窊耘浹竝俸荳烘笋挹晟挛挛梃耄痂釗宸紊笏眛倮挈挈挈紡紡捎旂旂娠袪俶悁莠栝唄挐娑貣倀恧铍厝秤唆逑𪺽莪𠩵桧恝恝恝屐𮍦𮧮畚恁圅窋窋軎浿𠩬砧倝牷珞逌敉倅秧紝紝莩涑䎡狶甡莧栢莆笓秫秫捃扆扆毦畕狺窅窅剗莝𫺁浼浼珧哿帬𢀡竘
	10	1	軏軓浡凊凊龨紏紏㿟烜莙畗莤竜莨荽𢚩㱿㱿厞烓蚔蚉娩娩倓冣宷峯浝浧訔飤飤珡珡桊桊㿾屓挼敇欱歬毣盌眣笒耼陮栱郰郰㑥㪉䎳峩峳捔浰眘耊胷胷㪿夎𥑟疳洍洍㕋䙷倗叞垷埐娕宭峷欯烋珦眜秮荾莁𡘳𣑦
	10	0	荸倶倶娧娧笍笍肁肁畠脋脋
	10	-1	㑫㓒㓯㕍㕖㖖㝚㤪㤪㫥㫧㫫㫬㫭㬵㭝㰪㳭㶷㻂㻂㽜䉼䏧䏧䒚䒝䒤䒥䖍䘐䙳䢖䣅俻倐冧卨哠哠哢埀娏娳宻宼峲庯恖恵悎悎扄扄扅扅挙捚斊曺曺曻枽栞栞桍桝浗浛浱浽涄眗眧秥窇窇竛粆粍紦紦缼羘羘羙聀聁莀莑莗莟莭莭釛釡閅鿄𠂹𠂺𠂽𠅖𠅘𠅜𠅝𠊅𠊅𠊋𠊋𠒖𠓭𠖏𠖐𠙖𠚒𠡷𠣦𠣧𠣬𠥶𠥶𠧴𠩲𠫹𠫼𠲯𠲯𠳄𠳅𠳒𠳬𠳮𠳯𠳺𡇢𡋰𡋲𡌓𡔣𡔣𡔧𡕚𡕦𡕦𡘝𡘞𡘤𡘩𡘩𡘰𡘲𡝌𡝌𡥨𡨈𡨋𡨐𡨚𡨝𡨝𡨞𡨟𡴘𡷝𡷰𡷾𡸁𡸄𢃄𢃋𢆙𢆙𢇅𢈙𢈱𢍍𢍏𢑛𢓭𢓰𢓱𢓸𢔀𢙽𢚘𢚛𢚸𢦷𢭎𢭳𢼜𢼡𢼧𢼴𣂜𣆗𣆟𣆪𣆫𣍮𣍮𣐸𣐺𣐽𣑩𣑱𣑱𣑽𣪈𣬈𣴠𣵀𣵎𣵠𣵡𣵣𣷚𣷚𤇯𤇯𤇷𤇸𤈕𤈜𤔍𤔍𤕺𤞻𤞻𤤿𤯅𤯟𤱍𤵶𤼩𤽤𥁘𥁫𥁫𥄱𥄲𥄳𥄳𥄷𥅌𥅘𥅘𥎵𥑥𥑭𥞊𥞓𥞔𥥍𥥍𥥐𥥐𥥗𥥗𥥛𥥛𥥟𥥟𥩥𥩮𥬄𥬇𥸷𥾸𦊎𦊒𦊚𦊜𦊥𦍤𦒿𦕂𦕈𦚟𦚟𦚣𦚣𦚧𦚧𦚶𦚾𦣣𦤃𦨚𦭶𦮃𦮋𦮎𦮔𦮕𦮠𦮴𧆠𧉊𧉎𧉎𧉏𧉘𧙃𧙍𧙏𧟨𧟨𧥢𧥥𧥧𧮭𧮭𧯜𧰬𧲣𧴫𧴮𧴲𨊫𨊰𨓜𨓤𨛼𨤾𨳌𨺅𪝉𪝉𪞁𪠋𪣣𪧐𪯌𪶀𪸥𪺮𫂵𫆁𫊫𫐩𫕄𫝗𫝤𫟎𫟎𫢴𫦂𫩁𫪉𫯎𫳇𫵼𫸚𫸳𫹔𫼋𫼋𫾬𬀴𬁼𬂧𬂹𬂹𬆣𬇦𬊇𬐚𬒴𬓥𬔰𬙜𬙮𬜲𬜶𬜶𬜷𬬺𬯁𬺞𬾨𭃳𭆆𭆞𭆟𭍠𭕞𭖦𭖨𭘧𭙜𭙡𭜨𭜪𭜫𭜮𭜵𭣯𭣱𭤶𭥯𭦃𭦃𭩶𭪂𭭇𭭉𭭋𭮩𭮪𭮫𭮬𭮬𭯍𭰘𭻉𭽎𭿷𮈄𮈄𮊀𮊂𮎁𮏄𮓸𮕩𮜿𮜿𮠚𮥆𮩸𮫮𮮑𰀒𰀕𰀦𰄔𰇩𰉯𰙤𰙩𰛖𰛖𰛷𰞚𰢱𰦖𰫝𰭍𰭍𰮤𰮤𰯯𰲚𰺅𱍂𱒦𱒱𱛩𱥂𱦋𱦝𱰮𱳛
	11	6	過殸旣鹿著麻麻
	11	5	得𢛳國從專魚婁鳥將將將黄黄張異清竟問𢇇理貫祭𦰩𦰩羕羕處做𣶒𣶒𣶒野曼曼象象帶虚眼焉畨鄉啇埶埶埶教現動陽𬀷着着㒼責章票強欲進常常敢敢敢斬悤隊區區第堇接參情情堂率商翏曹曹眾眾眾宿𡕩𡕩望望望望望梁視視深
	11	4	随寅敝敝許淮堅產產執執尉基断庶救㽞患营盖啚啚啚敕㳟㳟麥麥康停終終敗淡𤱪𤱪細細盗規雪雪萑黒推授唯累孰孰崩族族领頃習習奞貧隐悉徙曽崔桼惜𦰌梦假𪟊戚寇𩵋設殹盛职密婆𱁈貪球祸頂崇䙴䙴银排庸萧啬渐脚脚淫弹惟乾略维𥞤𥞤移啟菲猫鹵爽副彩婴掉聊猛𠚕術術𠁳脱脱脫脫毫勒淨閉距偏側𭷆掛涼巢隆隆牽符婦婦階袞袞探萊啫混敏敏萈萈赦晨盘蛋旋旋减寄軟隋隋㣎蛇掩甜圈颇渊域粗谒堆偷偷粒組組菜猎掂梗淺偽逮舂液添渠偉彗彗彗彗悠绳斛敛産紹紹𤕻偶痕晝晝奢奢偃惨惨寂逸逸逸屚
	11	3	訟掃掃𠩺豙娶掘悼猪猪雀雀船船船船貨貨貨𮙸盒萌斜雩雩虖捷措婉訪晦梅梅绵豚豚堕培匙兜笼涵菊淳𡮂𡮂屠屠貶阎𠁁淑𧰲崖淋彪敘萃眯捨捨涯欶窒窒售凰廊廊衔捧帷圉笨鸾隅偵梧桶畤猜猜猜匮旉隗萄笛彬啵梓梵訣崑笞冕冕冕犁崙趾脣脣脣瓠眷眷笙梟梟捽販覓惮惮烹崗厠萠萠粘淩旌旌剪剪梨笠脖脖釣釣脯脯猗淄堵堵疵戛匐𫔴逵菹菩菌渦淘阉偪扈扈扈淖傀聆菱萎梢彫舵渚盔盔脛脛豉訥訥庵婪粜萦鄂鄂偎
	11	2	庾庾𭾁唬虘啐勘笺捺聃聃菟菟菁菁堊啄啄笥萸畧猖淅梏梏缽梔窕窕菀晡痔赉欷屜窑窑匏匏笮庳庳翌翌恿晢袴酖唫酓衒隈殻殻桮涪紵紵赧赧逶捻捻笱涷𮍏悊閈阋晜袈菆菆脘脘掎菫鄄鄄菡菡敔菶匾匾屛崟淶悘捭捭淠梄逴𣪘皐皐萁淥軗棻絇絇焊硃勖勖勖𠶮笴㤲䚻禼寀菖淦淙㶾啓啓啓
	11	1	勗勗勗剬𥎿𥎿閆埜叄玈圇旍旍紬紬㪍軝殍菉菉砦萆萆莾寁朙畣眽笘笯菓𬀽窔窔窐窐敍焐㝡梩𥹄𪺞琇絅絅勔笤笪䋈䢙剭婏徛敓梫焄猚甛菳菴𡿿㠱㢈㴆菬菿啉掮紨紨𡨥萵圊圊圊晧晧㝛㝠㪷㭰䀁䍘䒦偒捼淂淜渃窓窓罣萅躭軖逹镺隌𥬥
	11	0	淰淰淰焅焅谻谻崬萘堃淸淸𮥶梖
	11	-1	㓱㕘㝝㣦㤻㭪㭬㰯㲘㳫㳫㳿㴌㷀㷀㷀㸔㹿㻎㿡䂮䂮䄅䅆䅇䅈䆟䆟䆠䆠䇠䇣䇤䇥䎆䏻䒩䖏䖤䚴䚵䚺䚿䝆䝨䟝䧑䧔䧔亀偘偸偹冨厡唻営営埥埥奜寃寃寉庴庻徝徤悥悪惈戜戝掗掽掽掽敎斍斎斎斎旈晘梞欵淗渂渄渒烾焇焏猄猉琍笡粛絁絁菛萗虗覔貮貮赥転逨逩鄊隂髙𠁃𠁅𠃀𠊰𠊳𠋛𠋛𠋣𠕠𠗦𠙚𠚖𠝣𠝭𠝮𠝻𠣯𠦪𠦪𠦬𠧸𠪂𠭖𠭙𠵂𠵊𠵛𠵥𠵦𠵨𠶋𠶬𠶶𡇶𡈀𡌦𡌭𡌳𡍏𡕨𡘷𡘹𡘹𡘺𡘺𡘽𡙁𡙆𡝤𡝼𡞕𡥵𡨤𡨦𡨧𡨴𡨼𡭽𡭽𡮁𡮁𡲇𡹐𢈻𢉅𢉆𢉉𢉖𢉙𢒗𢔃𢔃𢔜𢔜𢛓𢛢𢛧𢛲𢜈𢜊𢜊𢜏𢜤𢧁𢼾𢽊𢽋𢽍𢽐𣁐𣂞𣂞𣂫𣇀𣇃𣇄𣇓𣇛𣓀𣢾𣣅𣥶𣨑𣨑𣪌𣪍𣪏𣪏𣪐𣪓𣭵𣶃𣶙𣷌𤈫𤈿𤉄𤉋𤉐𤋳𤕽𤙭𤫶𤭃𤰈𤰈𤱵𤱺𤼭𤿤𥁞𥁠𥁠𥅥𥆁𥎽𥏇𥑴𥒐𥒥𥙷𥙷𥞫𥥪𥥪𥥭𥥭𥥴𥥵𥬑𥬒𥬒𥬝𥬟𥹏𥹙𥿄𥿄𥿄𦊷𦕒𦕓𦘕𦘕𦛱𦤎𦤏𦧔𦯆𦯕𦯧𦯬𦰟𦰧𧆥𧆨𧆩𧆩𧆭𧉥𧉴𧉴𧉾𧙯𧙿𧟪𧟪𧠓𧦈𧦈𧦊𧦗𧦗𧯞𧰮𧴴𧴵𧴹𧴻𧴿𧵆𧿭𨈡𨊴𨊿𨋅𨓿𨔍𨔛𨜞𨟻𨟽𨤐𨤑𨱝𨱥𨳐𨺵𨾈𨾎𨾏𩁹𩁿𩂀𩚇𪎊𪡒𪦾𪯍𪲓𪲖𪺏𫁹𫃟𫇿𫈅𫈏𫏳𫞫𫟐𫤰𫧉𫩀𫪡𫭋𫱀𫳐𫵠𫵠𫻶𫽚𫾶𬂴𬋩𬋩𬍥𬑔𬜻𬝉𬦈𬯆𭄶𭍥𭎮𭓶𭚽𭚽𭜳𭣴𭦊𭦌𭦗𭪗𭪗𭮰𭮰𭴷𭶰𭸋𭻍𭽀𭽪𭾬𭾱𭾲𮋛𮌔𮌔𮍖𮏓𮏓𮏖𮏚𮏝𮔀𮕱𮖿𮖿𮙲𮞨𮫬𮮠𮮠𰂙𰇶𰓶𰗧𰚋𰠀𰥞𰥡𰨥𰩶𰭌𰮕𰱃𰱅𰲛𰲛𰲝𰶳𰶵𰶷𰺵𰿘𰿚𱀚𱉥𱏧𱏧𱑏𱞩𱡘𱥗𱫌𱮇𱰋𱷥𱻱𱻱
	12	6	黑道無然就𦥯
	12	5	發單幾幾黃黃開登間童復戠戠戠𤔔貴朝買景虛番番强最最等堯善善萬喜喜揾遀遀惡備曾曾敬敬属落尊遂遂斯奠䖵鄕鄕飲喬喪温𩾏越絕絕達遇猒猒猒猒智粦
	12	4	厤勞量集雲期惠短答報菐雈勝痛圍游尞寍寍順費掌掌御猶提焦賁賁畫畫散散極韩須盜惑湯厥給給朁朁朁朁董補葉鲁街普𰕎赐舄巽巽喂尌兟祿祿舃富詔飯飯結結程悲雇雇雇遗筑彭替替鼎舜𢁉運絲絲禽塊奥筆博閒閒超𢽠𢽠舒爺犀犀禄禄禄違靓葬覃覃項寒寒揚隔粟馮閏尋尋傅雄遍插策联晶測湿訴硬殘葛握款疏棥棄棄赏赏湖壹壹琴紫敦稍雅絜絜禍禍缘森聑辜減𱗐𡩜援琪貳黍統統滑逼淵敞敞欺税稅循裂創貼賀詐悶皓皓焚煮晴晴晴矞羡渾堪筋渡厨貸湛趁雁暑
	12	3	欽牌牌琳渴棒粥牚屡絡絡愧喉翕揖媚焰惱蛮蛮喃閔甯椅雋惹棘揉掾筒稀評壺壺裁凱粤凿遁窝揭翔翔棟戟窜詠逾逾嵐嗟葱阔棗脾脾脾琼猋雯黹黹筵湘棵鉅葦軫割割割阑厦棠棠衆揸揸棋蒂隙隙隙媒爲愕愕斌募鈞鈞閑溉殼殼彘棉貿葆惺滋滋滋葵蛛惢毳遏媛棧缊颉滞滞皕辇斑椎渙斐㗊粪脹脹弼寓勛喟絮焱蛰揆啼猥腔腔鈔葭腊腊嵒䜭惰惰掣琦殽馭堤傕跛棱遐慨慨慨葡鈍筍竦蒍嫂嫂嫂蒐畱琢琢寔飧遄嵬戢戢渥酥甤萱飭飭晷琮絰絰觚棐孱蛤啻
	12	2	犍湟訶窘窘酤絭絭貰琰詈絫韌嵌徧傘椰崽硯𬯎寑蒌琶鄔棼琵翚蜓喑䧘渝渝渝棕晻揞婺湆葅覘臯臯愔筏軨猌盙湄棓䖭斮皖鈐揔耋焞棃䊆棊祼祼犇渫淼葺葩絢絢渲葶扉扉扉㖾稌湮湮湮窖窖窖斝欹㠭稊聒䠶飪飪萼萼痣葑𪯎稈猲絛絛掔犂廆朞朞睆焯廋廋脽脽絶絶奡葴焝湔湔軲葳喦喦媞寕寕臷葍裒裒裒㥥欻欿湳牋臮隓𠭥葚
	12	1	稂畬徥惸棨棨痗臦萹棹渻㑴暏暏椑椑硠筳蓱蓱寋袲蛔蛓㪔湜湡𪧘煑煑㫺㲃湅笿臸翛翛矟嵗椉渜湌嵓喭喭腱腱雱喆㞚㪙傌凖圌堛悹焣猭萷葻蛬衖軬㱕䂓䒸棸歯焭筓萺葏剴嗢嗢絙絙㛮㣫㥞䇨䒹奣悳悳惪揂棤楇焛疎筄萲葢蜑鈙𡩋𢽟𥆞頇
	12	0	媠媠䏽䏽䙵䙵萮萮筌缂詋粞赑覚淾鈚
