U+4E8C	二	*U+4E8C≠U+2011E≠U+2011F≠U+20120
U+4F75	併	*U+4F75≡U+5002
U+5002	倂	*U+5002≡U+4F75
U+507D	偽	*U+507D≡U+50DE
U+5098	傘	*U+5098(V) was ^⿱𠆢⿻㸚十$ before Unicode 15.1
U+50DE	僞	*U+50DE≡U+507D
U+514C	兌	*U+514C≡U+5151
U+5151	兑	*U+5151≡U+514C
U+5167	內	*U+5167≡U+5185
U+5175	兵	*U+5175≠U+2050A
U+517A	兺	*U+517A(K) was ^⿱分𫜸$ before Unicode 15.1
U+5185	内	*U+5185≡U+5167
U+5188	冈	*U+5188≠U+7F53
U+51A6	冦	*U+51A6≡U+2D075
U+524F	剏	*U+524F≡U+20775
U+5341	十	*U+5341≠U+2C09B
U+5391	厑	*U+5391(K) was ^⿸厂𫜸$ before Unicode 15.1
U+53F1	叱	*U+53F1(V)=U+20B9F(GJ);U+53F1(V) was ^⿰口𠤎$ before Unicode 11.0
U+5436	吶	*U+5436≡U+5450
U+5450	呐	*U+5450≡U+5436
U+545A	呚	*U+545A≡U+2D1C5
U+54DB	哛	*U+54DB(K) was ^⿱𫜸分$ before Unicode 15.1
U+551C	唜	*U+551C(K) was ^⿱末𫜸$ before Unicode 15.1
U+551F	唟	*U+551F(K) was ^⿱去𫜸$ before Unicode 15.1
U+55A3	喣	*U+55A3=U+24275(P)
U+55A6	喦	*U+55A6(V)=U+5D52
U+55B8	喸	*U+55B8(K) was ^⿱甫𫜸$ before Unicode 15.1
U+55ED	嗭	*U+55ED(K) was ^⿱直𫜸$ before Unicode 15.1
U+5668	器	*U+5668(J)=U+20F96
U+56CD	囍	*U+56CD(K) was ^⿰喜喜$ in Unicode 5.2;U+56CD(K)≡U+21155
U+5746	坆	*U+5746≡U+2A8BA
U+5794	垔	*U+5794(G)=U+212B9(T)
U+5912	夒	*U+5912(K) was ^⿳⿸⿹𦣻止巳儿夊$ in Unicode 5.2
U+591E	夞	*U+591E(K) was ^⿱外𫜸$ before Unicode 15.1
U+5A90	媐	*U+5A90(GHTK)=U+217EE(P)
U+5AAF	媯	*U+5AAF≡U+5B00
U+5AB2	媲	*U+5AB2=U+2180C(G);U+5AB2(G) was ^⿰女⿱⿱㇒囚比$ in Unicode 5.2
U+5B00	嬀	*U+5B00≡U+5AAF
U+5B2E	嬮	*U+5B2E(T) was ^⿱厭女$ before Unicode 15.1
U+5B5C	孜	*U+5B5C≡U+30321
U+5BC7	寇	*U+5BC7≡U+21A25
U+5C12	尒	*U+5C12(P)=U+21B57
U+5C35	尵	*U+5C35(P)=U+2BD52
U+5C4F	屏	*U+5C4F≡U+5C5B
U+5C5B	屛	*U+5C5B≡U+5C4F
U+5C6E	屮	*U+5C6E(J)=U+4DB9
U+5D52	嵒	*U+5D52=U+55A6(V)
U+5DD5	巕	*U+5DD5(T) was ^⿰山孽$ =U+21FD2(G) before Unicode 14.0
U+5DFC	巼	*U+5DFC(K) was ^⿱巴𫜸$ before Unicode 15.1
U+5DFD	巽	*U+5DFD(J)=U+22049
U+5E21	帡	*U+5E21≡U+5E32
U+5E32	帲	*U+5E32≡U+5E21
U+5E50	幐	*U+5E50≠U+3B3A
U+5EE4	廤	*U+5EE4(K) was ^⿸庫𫜸$ before Unicode 15.1
U+5F50	彐	*U+5F50(GP)=U+2B739
U+5F84	径	*U+5F84(TJKP)=U+2EC7B(G)
U+6085	悅	*U+6085≡U+60A6
U+609E	悞	*U+609E(V) was ^⿰忄⿱⿺𠃊口大$ before Unicode 15.1
U+60A6	悦	*U+60A6≡U+6085
U+61E1	懡	*U+61E1(TJK)=U+228D7(G)
U+6287	抇	*U+6287(TKV)=U+22A8F
U+6329	挩	*U+6329≡U+635D
U+635D	捝	*U+635D≡U+6329
U+6416	搖	*U+6416≡U+6447
U+6447	摇	*U+6447≡U+6416
U+652C	攬	*U+652C(V) was ^⿰扌覧$ =U+2D8C4 before Unicode 14.0
U+6537	攷	*U+6537≡U+30543
U+6538	攸	*U+6538≡U+2D8E2
U+653A	攺	*U+653A≡U+22EF0
U+653E	放	*U+653E≡U+30546
U+6540	敀	*U+6540≡U+24F50
U+6542	敂	*U+6542≡U+22F12
U+6546	敆	*U+6546≡U+3A89
U+6547	敇	*U+6547≡U+2D8EF
U+654A	敊	*U+654A≡U+2D8EC
U+654B	敋	*U+654B≡U+22F1B
U+654C	敌	*U+654C≡U+22F24
U+654D	敍	*U+654D≡U+6558
U+6553	敓	*U+6553≡U+655A≡U+2D8F3
U+6555	敕	*U+6555≡U+2D8F4
U+6558	敘	*U+6558≡U+654D
U+655A	敚	*U+655A≡U+2D8F3≡U+6553
U+655C	敜	*U+655C≡U+2BFBF
U+655E	敞	*U+655E≡U+3054B
U+6560	敠	*U+6560≡U+656A
U+6561	敡	*U+6561≡U+2BFBB
U+6563	散	*U+6563≡U+2D8F9
U+6564	敤	*U+6564≡U+3A99
U+6565	敥	*U+6565≡U+22F7B
U+6566	敦	*U+6566≡U+2D8F8
U+6567	敧	*U+6567≡U+22F7D
U+6568	敨	*U+6568≡U+3A97
U+6569	敩	*U+6569≡U+22F7E
U+656A	敪	*U+656A≡U+6560
U+656D	敭	*U+656D≡U+22F99
U+656F	敯	*U+656F≡U+22F9E
U+6571	敱	*U+6571≡U+6573
U+6572	敲	*U+6572≡U+3AA3
U+6573	敳	*U+6573≡U+6571
U+6578	數	*U+6578≡U+22FD8
U+657A	敺	*U+657A≡U+22FDB
U+657B	敻	*U+657B(GHT)≡U+22FCC;U+657B(P)=U+22FCC
U+657D	敽	*U+657D≡U+657F
U+657E	敾	*U+657E≡U+3AA8
U+657F	敿	*U+657F≡U+657D
U+6580	斀	*U+6580≡U+23008
U+6581	斁	*U+6581≡U+23007
U+6585	斅	*U+6585≡U+6586
U+6586	斆	*U+6586≡U+6585
U+65D5	旕	*U+65D5(K) was ^⿱於𫜸$ before Unicode 15.1
U+6653	晓	*U+6653≡U+231C8
U+6685	暅	*U+6685(P)=U+23236
U+66DA	曚	*U+66DA(P)=U+232E1
U+66F6	曶	*U+66F6(H)=U+3ADA(G)
U+670A	朊	*U+670A≠U+43D3
U+670C	朌	*U+670C≠U+80A6
U+670F	朏	*U+670F≠U+80D0
U+6710	朐	*U+6710≠U+80CA
U+6713	朓	*U+6713≠U+8101
U+6718	朘	*U+6718≠U+8127
U+6721	朡	*U+6721≠U+4DBD
U+6723	朣	*U+6723≠U+81A7
U+6726	朦	*U+6726≠U+4443
U+6727	朧	*U+6727≠U+268AB
U+676E	杮	*U+676E(K)=U+67FF(K)
U+679A	枚	*U+679A≡U+233FD
U+67FF	柿	*U+67FF(K)=U+676E(K)
U+6803	栃	*UK-01746 ^⿰木厉$ unified to U+6803
U+68B2	梲	*U+68B2≡U+68C1
U+68C1	棁	*U+68B2≡U+68B2
U+69E9	槩	*U+69E9(GH)=U+3BA3
U+69F1	槱	*U+69F1(JK)=U+2ACDD
U+6AC0	櫀	*U+6AC0(T) was ^⿰扌綦$ before Unicode 14.0
U+6B04	欄	*U+6B04(J)=U+237EC
U+6D16	洖	*U+6D16(G)≡U+23D57
U+6D97	涗	*U+6D97≡U+6D9A
U+6D9A	涚	*U+6D9A≡U+6D97
U+6E88	溈	*U+6E88≡U+6F59
U+6F59	潙	*U+6F59≡U+6E88
U+6F75	潵	*U+6F75(V) was ^⿰氵散$ before Unicode 11.0
U+6F78	潸	*U+6F78(H)=U+23F7D(G)
U+6FD3	濓	*U+6FD3(V) was ^⿰氵廉$ before Unicode 15.1
U+7028	瀨	*U+7028(G)=U+702C(P)
U+702C	瀬	*U+702C(P)=U+7028(G)
U+7087	炇	*U+7087≡U+2419D
U+70BA	為	*U+70BA≡U+7232
U+7222	爢	*U+7222(P)=U+3E0F(G)
U+7232	爲	*U+7232≡U+70BA
U+7267	牧	*U+7267≡U+24634
U+7361	獡	*U+7361(KP)=U+2486F;U+7361(T) was ^⿰犭舃$ before Unicode 15.1
U+73AB	玫	*U+73AB≡U+3EB3
U+7422	琢	*U+7422(J)=U+24968
U+7464	瑤	*U+7464(V)=U+7476(GHTK);U+7464≡U+7476
U+7468	瑨	*U+7468(G)=U+24A01
U+746F	瑯	*U+746F(GHT)=U+249E8(P)
U+7476	瑶	*U+7476(GHTK)=U+7464(V);U+7476≡U+7464
U+74F6	瓶	*U+74F6≡U+7501
U+7501	甁	*U+7501≡U+74F6
U+7589	疉	*U+7589(J)=U+24D01(G);U+7589(P)=U+24D01(TV)
U+7714	眔	*U+7714(J)=U+25133(G)
U+7828	砨	*U+7828(H) was ^⿰石⿸戶乙$ before Unicode 11.0
U+78D9	磙	*U+78D9≡U+25566
U+7A05	稅	*U+7A05≡U+7A0E
U+7A0E	税	*U+7A0E≡U+7A05
U+7A3D	稽	*U+7A3D(K)=U+25874
U+7A81	突	*U+7A81(J)=U+2592E(T)
U+7B93	箓	*U+7B93(G)=U+25B7C(V)
U+7BF9	篹	*U+7BF9(J)=U+25CBB
U+7C06	簆	*U+7C06(HJKP)=U+25C83
U+7C51	籑	*U+7C51=U+25D89(G)
U+7F53	罓	*U+7F53≠U+5188
U+7F80	羀	*U+7F80(P)=U+2E29A
U+8034	耴	*U+8034(H)=U+2652E
U+809E	肞	*U+809E(G)=U+2E30B(S)
U+80A6	肦	*U+80A6≠U+670C
U+80AD	肭	*U+80AD≠U+4DBA
U+80CA	胊	*U+80CA≠U+6710
U+80D0	胐	*U+80D0≠U+670F
U+80F6	胶	*U+80F6≠U+3B35
U+80FC	胼	*U+80FC≡U+8141
U+80FF	胿	*U+80FF≠U+318B9
U+8101	脁	*U+8101≠U+6713
U+8127	脧	*U+8127≠U+6718
U+812B	脫	*U+812B≡U+8131
U+8131	脱	*U+8131≡U+812B
U+813C	脼	*U+813C≠U+23377
U+8141	腁	*U+8141≡U+80FC
U+8192	膒	*U+8192≠U+267FE
U+81A7	膧	*U+81A7≠U+6723
U+81ED	臭	*U+81ED(J)=U+26900
U+81F4	致	*U+81F4(HT)=U+26936(GV);U+81F4(GJKV)=U+26936(T)
U+8200	舀	*U+8200(J)=U+2695D
U+821D	舝	*U+821D(GHTJ)=U+246C9(G)
U+8286	芆	*U+8286(T)=U+2ED9D
U+82B2	芲	*U+82B2(J)=U+30C28
U+83BB	莻	*U+83BB(K) was ^⿱艿𫜸$ before Unicode 15.1
U+8412	萒	*U+8412(T) was ^⿱艹兗$ before Unicode 15.1
U+8481	蒁	*U+8481(J)=U+26CEF
U+848A	蒊	*U+848A(K) was ^⿱花𫜸$ before Unicode 15.1
U+848D	蒍	*U+848D≡U+853F
U+853F	蔿	*U+853F≡U+848D
U+85C8	藈	*U+85C8=U+26FE1(T)
U+8641	虁	*U+8641(J)=U+21582;U+8641(K)=U+27144;U+8641(K) was ^⿱艹⿳⿸⿹𦣻止匕儿夊$ in Unicode 5.2
U+8654	虔	*U+8654=U+2AA90(T)
U+8695	蚕	*U+8695=U+27255(T)
U+86FB	蛻	*U+86FB≡U+8715
U+8715	蜕	*U+8715≡U+86FB
U+889A	袚	*U+889A=U+4620(T)
U+8AAA	說	*U+8AAA≡U+8AAC
U+8AAC	説	*U+8AAC≡U+8AAA
U+8B20	謠	*U+8B20(V)=U+8B21(G);U+8B20≡U+8B21
U+8B21	謡	*U+8B21(G)=U+8B20(V);U+8B21≡U+8B20
U+8B39	謹	*U+8B39(J)=U+27AF4
U+8B8A	變	*U+8B8A≡U+23035
U+8C5F	豟	*U+8C5F(H) was ^⿰豕⿸戶乙$ before Unicode 11.0
U+8C6C	豬	*U+8C6C(K) was ^⿰豸者$ between Unicode 6.0 and 11.0 inclusive
U+8C81	貁	*U+8C81≡U+2E669
U+8CD2	賒	*U+8CD2(P)=U+8CD6
U+8D01	贁	*U+8D01≡U+23015
U+8ED9	軙	*U+8ED9≡U+282B4
U+8EF6	軶	*U+8EF6(H) was ^⿰車⿸戶乙$ before Unicode 11.0
U+8EFF	軿	*U+8EFF≡U+8F27
U+8F27	輧	*U+8F27≡U+8EFF
U+8FF8	迸	*U+8FF8≡U+902C
U+902C	逬	*U+902C≡U+8FF8
U+9038	逸	*U+9038(J)=U+284DC(G)
U+9059	遙	*U+9059≡U+9065
U+9065	遥	*U+9065≡U+9059
U+9094	邔	*U+9094=U+2866C(G);U+9094 has left-side form of 己
U+9136	鄶	*U+9136≡U+287A4
U+9219	鈙	*U+9219≡U+2B48B
U+92B3	銳	*U+92B3≡U+92ED
U+92ED	鋭	*U+92ED≡U+92B3
U+9306	錆	*U+9306(J) was ^⿰釒青$ before Unicode 8.0
U+93AB	鎫	*U+93AB(V) was ^⿰釒⿳⿱㇒冈八夊$ before Unicode 15.0
U+9459	鑙	*U+9459=U+28BBA(G)
U+95B1	閱	*U+95B1≡U+95B2
U+95B2	閲	*U+95B2≡U+95B1
U+9686	隆	*U+9686(J)=U+28E93
U+9819	頙	*U+9819(J)=U+29460
U+981A	頚	*U+981A(P)=U+2948D
U+985E	類	*U+985E(J)=U+29516
U+9905	餅	*U+9905≡U+9920
U+9907	餇	*U+9907(P)=U+296B1
U+9920	餠	*U+9920≡U+9905
U+99C7	駇	*U+99C7≡U+2CCE9
U+99E2	駢	*U+99E2≡U+9A08
U+9A08	騈	*U+9A08≡U+99E2
U+9BD6	鯖	*U+9BD6(J) was ^⿰魚青$ before Unicode 8.0
U+9F14	鼔	*U+9F14≡U+2EBA6
U+9F9D	龝	*U+9F9D=U+418B(K)
U+9FBA	龺	*lateral form of U+2099D
U+9FBB	龻	*top form of U+470C
U+FA23	﨣	*U+FA23=U+27EAF
U+34A8	㒨	*U+34A8(G)=U+20457
U+357E	㕾	*U+357E(K) was ^⿱小𫜸$ before Unicode 15.1
U+3588	㖈	*U+3588=U+439B
U+358B	㖋	*U+358B(K) was ^⿱介𫜸$ before Unicode 15.1
U+358C	㖌	*U+358C(K) was ^⿱仇𫜸$ before Unicode 15.1
U+358D	㖍	*U+358D(K) was ^⿱斗𫜸$ before Unicode 15.1
U+358E	㖎	*U+358E(K) was ^⿱𫜸介$ before Unicode 15.1
U+3599	㖙	*U+3599(K) was ^⿱加𫜸$ before Unicode 15.1
U+359A	㖚	*U+359A(K) was ^⿱付𫜸$ before Unicode 15.1
U+359B	㖛	*U+359B(K) was ^⿱古𫜸$ before Unicode 15.1
U+359C	㖜	*U+359C(K) was ^⿳亠口𫜸$ before Unicode 15.1
U+359D	㖝	*U+359D(K) was ^⿱未𫜸$ before Unicode 15.1
U+35AF	㖯	*U+35AF(K) was ^⿱同𫜸$ before Unicode 15.1
U+35B0	㖰	*U+35B0(K) was ^⿱𫜸同$ before Unicode 15.1
U+35B2	㖲	*U+35B2(K) was ^⿱如𫜸$ before Unicode 15.1
U+35B3	㖳	*U+35B3(K) was ^⿱汝𫜸$ before Unicode 15.1
U+35DF	㗟	*U+35DF(K) was ^⿱注𫜸$ before Unicode 15.1
U+35E0	㗠	*U+35E0(K) was ^⿱始𫜸$ before Unicode 15.1
U+35E1	㗡	*U+35E1(K) was ^⿱芿𠮟$ before Unicode 15.1
U+35EF	㗯	*U+35EF(K) was ^⿱者𫜸$ before Unicode 15.1
U+360F	㘏	*U+360F(K) was ^⿱道𫜸$ before Unicode 15.1
U+3612	㘒	*U+3612(K) was ^⿱種𫜸$ before Unicode 15.1
U+363D	㘽	*U+363D=U+39B3
U+3777	㝷	*U+3777(T) was ^⿳{43}⿰工丸寸$ before Unicode 6.0, and ^⿳𫜹巩寸$ between Unicode 6.0 and 13.0 inclusive
U+38AD	㢭	*U+38AD≡U+223BF
U+39B3	㦳	*U+39B3=U+363D
U+3A83	㪃	*U+3A83≡U+22F14
U+3A86	㪆	*U+3A86≡U+22F15
U+3A89	㪉	*U+3A89≡U+6546
U+3A8A	㪊	*U+3A8A≡U+22F4F
U+3A8B	㪋	*U+3A8B≡U+22F4E
U+3A90	㪐	*U+3A90≡U+22F72
U+3A91	㪑	*U+3A91≡U+22F71
U+3A97	㪗	*U+3A97≡U+6568
U+3A99	㪙	*U+3A99≡U+6564
U+3A9B	㪛	*U+3A9B≡U+22FA4
U+3AA3	㪣	*U+3AA3≡U+6572
U+3AA7	㪧	*U+3AA7≡U+22FF4
U+3AA8	㪨	*U+3AA8≡U+657E
U+3ADA	㫚	*U+3ADA(G)=U+66F6(H)
U+3AE4	㫤	*U+3AE4(T) was ^〾⿱日⿱一水$ before Unicode 6.0
U+3B35	㬵	*U+3B35≠U+80F6
U+3B36	㬶	*U+3B36≠U+266E9
U+3B3A	㬺	*U+3B3A≠U+5E50
U+3B3B	㬻	*U+3B3B≠U+4420
U+3B3F	㬿	*U+3B3F≠U+2B736
U+3B9D	㮝	*U+3B9D(G) was ^⿰木卻$ before Unicode 12.0
U+3BA3	㮣	*U+3BA3=U+69E9(GH)
U+3CCA	㳊	*U+3CCA≡U+23C8F
U+3DB7	㶷	*U+3DB7(K)=U+2420E(T)
U+3E0F	㸏	*U+3E0F(G)=U+7222(P)
U+3EB3	㺳	*U+3EB3≡U+73AB
U+400B	䀋	*U+400B=U+2A279(P)
U+418B	䆋	*U+418B(K)=U+9F9D
U+4301	䌁	*U+4301(T) was ^⿰糹⿱襾女$ before Unicode 6.0
U+4369	䍩	*U+4369≡U+22F1D
U+439B	䎛	*U+439B=U+3588
U+43D3	䏓	*U+43D3≠U+670A
U+43D9	䏙	*U+43D9≠U+4DBB
U+43DE	䏞	*U+43DE≠U+2669C
U+440B	䐋	*U+440B≠U+4DBC
U+4420	䐠	*U+4420≠U+3B3B
U+4443	䑃	*U+4443≠U+6726
U+456B	䕫	*U+456B(T) was ^⿱艹⿱⿲止白㔾⿱八夊$ in Unicode 5.2
U+4620	䘠	*U+4620(T)=U+889A; U+4620(T) was ^⿰衤⿸𠂇乂$ before Unicode 6.0
U+46BA	䚺	*U+46BA≡U+2C89F
U+48B4	䢴	*U+48B4(G) was ^⿰干阝$ before Unicode 15.0
U+4C17	䰗	*U+4C17(J)=U+29C18
U+4C3B	䰻	*U+4C3B≡U+2EAF1
U+4C77	䱷	*U+4C77≡U+2D910
U+4D47	䵇	*U+4D47≡U+2A398
U+4DB9	䶹	*U+4DB9=U+5C6E(J)
U+4DBA	䶺	*U+4DBA≠U+80AD
U+4DBB	䶻	*U+4DBB≠U+43D9
U+4DBC	䶼	*U+4DBC≠U+440B
U+4DBD	䶽	*U+4DBD≠U+6721
U+200C1	𠃁	*U+200C1=U+24C6E
U+2011E	𠄞	*U+2011E≠U+2011F≠U+20120≠U+4E8C
U+2011F	𠄟	*U+2011F≠U+20120≠U+4E8C≠U+2011E
U+20120	𠄠	*U+20120≠U+4E8C≠U+2011E≠U+2011F
U+20168	𠅨	*U+20168≡U+2016C
U+2016C	𠅬	*U+2016C≡U+20168
U+20195	𠆕	*U+20195≡U+221A3
U+201B8	𠆸	*U+201B8≡U+30066
U+20306	𠌆	*U+20306=U+204F3
U+2030B	𠌋	*U+2030B(T) was ^⿰俗{20}$ before Unicode 6.1
U+20357	𠍗	*U+20357(G) was ^⿱合𦥑$ in Unicode 5.2
